"id","activity_id/id","budget","name","plan_id/id","program_id/id","spending_ids/id","subactivity_id/id","unit_id/id"
"itb_plan_line_117","itb_plan_activity_12","0","itb_plan_line_117","itb_plan_1","itb_plan_program_6","itb_plan_spending_1","itb_plan_subactivity_47","itb_plan_unit_9"
"itb_plan_line_44","itb_plan_activity_55","0","itb_plan_line_44","itb_plan_1","itb_plan_program_4","itb_plan_spending_2","itb_plan_subactivity_116","itb_plan_unit_10"
"","","0","","","","itb_plan_spending_3","",""
"","","0","","","","itb_plan_spending_4","",""
"","","0","","","","itb_plan_spending_5","",""
"","","0","","","","itb_plan_spending_6","",""
"","","0","","","","itb_plan_spending_7","",""
"","","0","","","","itb_plan_spending_8","",""
"","","0","","","","itb_plan_spending_9","",""
"","","0","","","","itb_plan_spending_10","",""
"","","0","","","","itb_plan_spending_11","",""
"","","0","","","","itb_plan_spending_12","",""
"","","0","","","","itb_plan_spending_13","",""
"","","0","","","","itb_plan_spending_14","",""
"","","0","","","","itb_plan_spending_15","",""
"","","0","","","","itb_plan_spending_16","",""
"","","0","","","","itb_plan_spending_17","",""
"","","0","","","","itb_plan_spending_18","",""
"","","0","","","","itb_plan_spending_19","",""
"","","0","","","","itb_plan_spending_20","",""
"itb_plan_line_107","itb_plan_activity_55","0","itb_plan_line_107","itb_plan_1","itb_plan_program_4","itb_plan_spending_21","itb_plan_subactivity_116","itb_plan_unit_8"
"itb_plan_line_152","itb_plan_activity_55","0","itb_plan_line_152","itb_plan_1","itb_plan_program_4","itb_plan_spending_22","itb_plan_subactivity_116","itb_plan_unit_2"
"","","0","","","","itb_plan_spending_23","",""
"","","0","","","","itb_plan_spending_24","",""
"","","0","","","","itb_plan_spending_25","",""
"","","0","","","","itb_plan_spending_26","",""
"","","0","","","","itb_plan_spending_27","",""
"","","0","","","","itb_plan_spending_28","",""
"","","0","","","","itb_plan_spending_29","",""
"","","0","","","","itb_plan_spending_30","",""
"","","0","","","","itb_plan_spending_31","",""
"","","0","","","","itb_plan_spending_32","",""
"","","0","","","","itb_plan_spending_33","",""
"","","0","","","","itb_plan_spending_34","",""
"","","0","","","","itb_plan_spending_35","",""
"","","0","","","","itb_plan_spending_36","",""
"","","0","","","","itb_plan_spending_37","",""
"","","0","","","","itb_plan_spending_38","",""
"","","0","","","","itb_plan_spending_39","",""
"","","0","","","","itb_plan_spending_40","",""
"","","0","","","","itb_plan_spending_41","",""
"","","0","","","","itb_plan_spending_42","",""
"","","0","","","","itb_plan_spending_43","",""
"","","0","","","","itb_plan_spending_44","",""
"","","0","","","","itb_plan_spending_45","",""
"","","0","","","","itb_plan_spending_46","",""
"","","0","","","","itb_plan_spending_47","",""
"","","0","","","","itb_plan_spending_48","",""
"","","0","","","","itb_plan_spending_49","",""
"","","0","","","","itb_plan_spending_50","",""
"","","0","","","","itb_plan_spending_51","",""
"","","0","","","","itb_plan_spending_52","",""
"","","0","","","","itb_plan_spending_53","",""
"","","0","","","","itb_plan_spending_54","",""
"","","0","","","","itb_plan_spending_55","",""
"","","0","","","","itb_plan_spending_56","",""
"","","0","","","","itb_plan_spending_57","",""
"","","0","","","","itb_plan_spending_58","",""
"itb_plan_line_121","itb_plan_activity_55","0","itb_plan_line_121","itb_plan_1","itb_plan_program_4","itb_plan_spending_59","itb_plan_subactivity_116","itb_plan_unit_3"
"","","0","","","","itb_plan_spending_60","",""
"","","0","","","","itb_plan_spending_61","",""
"","","0","","","","itb_plan_spending_62","",""
"","","0","","","","itb_plan_spending_63","",""
"","","0","","","","itb_plan_spending_64","",""
"","","0","","","","itb_plan_spending_65","",""
"","","0","","","","itb_plan_spending_66","",""
"","","0","","","","itb_plan_spending_67","",""
"","","0","","","","itb_plan_spending_68","",""
"","","0","","","","itb_plan_spending_69","",""
"","","0","","","","itb_plan_spending_70","",""
"","","0","","","","itb_plan_spending_71","",""
"","","0","","","","itb_plan_spending_72","",""
"","","0","","","","itb_plan_spending_73","",""
"","","0","","","","itb_plan_spending_74","",""
"itb_plan_line_167","itb_plan_activity_55","0","itb_plan_line_167","itb_plan_1","itb_plan_program_4","itb_plan_spending_75","itb_plan_subactivity_116","itb_plan_unit_6"
"itb_plan_line_45","itb_plan_activity_55","0","itb_plan_line_45","itb_plan_1","itb_plan_program_4","itb_plan_spending_76","itb_plan_subactivity_115","itb_plan_unit_10"
"","","0","","","","itb_plan_spending_77","",""
"","","0","","","","itb_plan_spending_78","",""
"itb_plan_line_38","itb_plan_activity_52","0","itb_plan_line_38","itb_plan_1","itb_plan_program_7","itb_plan_spending_79","itb_plan_subactivity_110","itb_plan_unit_10"
