"id";"spending_ids/id";"plan_line_ids/id";"name";"target_ids/id";"year"
"itb_plan_1";"itb_plan_spending_1";"itb_plan_line_117";"Plan STEI - 2017";"";"2017"
"";"itb_plan_spending_2";"";"";"";""
"";"itb_plan_spending_3";"";"";"";""
"";"itb_plan_spending_4";"";"";"";""
"";"itb_plan_spending_5";"";"";"";""
"";"itb_plan_spending_6";"";"";"";""
"";"itb_plan_spending_7";"";"";"";""
"";"itb_plan_spending_8";"";"";"";""
"";"itb_plan_spending_9";"";"";"";""
"";"itb_plan_spending_10";"";"";"";""
"";"itb_plan_spending_11";"";"";"";""
"";"itb_plan_spending_12";"";"";"";""
"";"itb_plan_spending_13";"";"";"";""
"";"itb_plan_spending_14";"";"";"";""
"";"itb_plan_spending_15";"";"";"";""
"";"itb_plan_spending_16";"";"";"";""
"";"itb_plan_spending_17";"";"";"";""
"";"itb_plan_spending_18";"";"";"";""
"";"itb_plan_spending_19";"";"";"";""
"";"itb_plan_spending_20";"";"";"";""
"";"itb_plan_spending_21";"";"";"";""
"";"itb_plan_spending_22";"";"";"";""
"";"itb_plan_spending_23";"";"";"";""
"";"itb_plan_spending_24";"";"";"";""
"";"itb_plan_spending_25";"";"";"";""
"";"itb_plan_spending_26";"";"";"";""
"";"itb_plan_spending_27";"";"";"";""
"";"itb_plan_spending_28";"";"";"";""
"";"itb_plan_spending_29";"";"";"";""
"";"itb_plan_spending_30";"";"";"";""
"";"itb_plan_spending_31";"";"";"";""
"";"itb_plan_spending_32";"";"";"";""
"";"itb_plan_spending_33";"";"";"";""
"";"itb_plan_spending_34";"";"";"";""
"";"itb_plan_spending_35";"";"";"";""
"";"itb_plan_spending_36";"";"";"";""
"";"itb_plan_spending_37";"";"";"";""
"";"itb_plan_spending_38";"";"";"";""
"";"itb_plan_spending_39";"";"";"";""
"";"itb_plan_spending_40";"";"";"";""
"";"itb_plan_spending_41";"";"";"";""
"";"itb_plan_spending_42";"";"";"";""
"";"itb_plan_spending_43";"";"";"";""
"";"itb_plan_spending_44";"";"";"";""
"";"itb_plan_spending_45";"";"";"";""
"";"itb_plan_spending_46";"";"";"";""
"";"itb_plan_spending_47";"";"";"";""
"";"itb_plan_spending_48";"";"";"";""
"";"itb_plan_spending_49";"";"";"";""
"";"itb_plan_spending_50";"";"";"";""
"";"itb_plan_spending_51";"";"";"";""
"";"itb_plan_spending_52";"";"";"";""
"";"itb_plan_spending_53";"";"";"";""
"";"itb_plan_spending_54";"";"";"";""
"";"itb_plan_spending_55";"";"";"";""
"";"itb_plan_spending_56";"";"";"";""
"";"itb_plan_spending_57";"";"";"";""
"";"itb_plan_spending_58";"";"";"";""
"";"itb_plan_spending_59";"";"";"";""
"";"itb_plan_spending_60";"";"";"";""
"";"itb_plan_spending_61";"";"";"";""
"";"itb_plan_spending_62";"";"";"";""
"";"itb_plan_spending_63";"";"";"";""
"";"itb_plan_spending_64";"";"";"";""
"";"itb_plan_spending_65";"";"";"";""
"";"itb_plan_spending_66";"";"";"";""
"";"itb_plan_spending_67";"";"";"";""
"";"itb_plan_spending_68";"";"";"";""
"";"itb_plan_spending_69";"";"";"";""
"";"itb_plan_spending_70";"";"";"";""
"";"itb_plan_spending_71";"";"";"";""
"";"itb_plan_spending_72";"";"";"";""
"";"itb_plan_spending_73";"";"";"";""
"";"itb_plan_spending_74";"";"";"";""
"";"itb_plan_spending_75";"";"";"";""
"";"itb_plan_spending_76";"";"";"";""
"";"itb_plan_spending_77";"";"";"";""
"";"itb_plan_spending_78";"";"";"";""
"";"itb_plan_spending_79";"";"";"";""
"";"itb_plan_spending_80";"";"";"";""
"";"itb_plan_spending_81";"";"";"";""
"";"itb_plan_spending_82";"";"";"";""
"";"itb_plan_spending_83";"";"";"";""
"";"itb_plan_spending_84";"";"";"";""
"";"itb_plan_spending_85";"";"";"";""
"";"itb_plan_spending_86";"";"";"";""
"";"itb_plan_spending_87";"";"";"";""
"";"itb_plan_spending_88";"";"";"";""
"";"itb_plan_spending_89";"";"";"";""
"";"itb_plan_spending_90";"";"";"";""
"";"itb_plan_spending_91";"";"";"";""
"";"itb_plan_spending_92";"";"";"";""
"";"itb_plan_spending_93";"";"";"";""
"";"itb_plan_spending_94";"";"";"";""
"";"itb_plan_spending_95";"";"";"";""
"";"itb_plan_spending_96";"";"";"";""
"";"itb_plan_spending_97";"";"";"";""
"";"itb_plan_spending_98";"";"";"";""
"";"itb_plan_spending_99";"";"";"";""
"";"itb_plan_spending_100";"";"";"";""
"";"itb_plan_spending_101";"";"";"";""
"";"itb_plan_spending_102";"";"";"";""
"";"itb_plan_spending_103";"";"";"";""
"";"itb_plan_spending_104";"";"";"";""
"";"itb_plan_spending_105";"";"";"";""
"";"itb_plan_spending_106";"";"";"";""
"";"itb_plan_spending_107";"";"";"";""
"";"itb_plan_spending_108";"";"";"";""
"";"itb_plan_spending_109";"";"";"";""
"";"itb_plan_spending_110";"";"";"";""
"";"itb_plan_spending_111";"";"";"";""
"";"itb_plan_spending_112";"";"";"";""
"";"itb_plan_spending_113";"";"";"";""
"";"itb_plan_spending_114";"";"";"";""
"";"itb_plan_spending_115";"";"";"";""
"";"itb_plan_spending_116";"";"";"";""
"";"itb_plan_spending_117";"";"";"";""
"";"itb_plan_spending_118";"";"";"";""
"";"itb_plan_spending_119";"";"";"";""
"";"itb_plan_spending_120";"";"";"";""
"";"itb_plan_spending_121";"";"";"";""
"";"itb_plan_spending_122";"";"";"";""
"";"itb_plan_spending_123";"";"";"";""
"";"itb_plan_spending_124";"";"";"";""
"";"itb_plan_spending_125";"";"";"";""
"";"itb_plan_spending_126";"";"";"";""
"";"itb_plan_spending_127";"";"";"";""
"";"itb_plan_spending_128";"";"";"";""
"";"itb_plan_spending_129";"";"";"";""
"";"itb_plan_spending_130";"";"";"";""
"";"itb_plan_spending_131";"";"";"";""
"";"itb_plan_spending_132";"";"";"";""
"";"itb_plan_spending_133";"";"";"";""
"";"itb_plan_spending_134";"";"";"";""
"";"itb_plan_spending_135";"";"";"";""
"";"itb_plan_spending_136";"";"";"";""
"";"itb_plan_spending_137";"";"";"";""
"";"itb_plan_spending_138";"";"";"";""
"";"itb_plan_spending_139";"";"";"";""
"";"itb_plan_spending_140";"";"";"";""
"";"itb_plan_spending_141";"";"";"";""
"";"itb_plan_spending_142";"";"";"";""
"";"itb_plan_spending_143";"";"";"";""
"";"itb_plan_spending_144";"";"";"";""
"";"itb_plan_spending_145";"";"";"";""
"";"itb_plan_spending_146";"";"";"";""
"";"itb_plan_spending_147";"";"";"";""
"";"itb_plan_spending_148";"";"";"";""
"";"itb_plan_spending_149";"";"";"";""
"";"itb_plan_spending_150";"";"";"";""
"";"itb_plan_spending_151";"";"";"";""
"";"itb_plan_spending_152";"";"";"";""
"";"itb_plan_spending_153";"";"";"";""
"";"itb_plan_spending_154";"";"";"";""
"";"itb_plan_spending_155";"";"";"";""
"";"itb_plan_spending_156";"";"";"";""
"";"itb_plan_spending_157";"";"";"";""
"";"itb_plan_spending_158";"";"";"";""
"";"itb_plan_spending_159";"";"";"";""
"";"itb_plan_spending_160";"";"";"";""
"";"itb_plan_spending_161";"";"";"";""
"";"itb_plan_spending_162";"";"";"";""
"";"itb_plan_spending_163";"";"";"";""
"";"itb_plan_spending_164";"";"";"";""
"";"itb_plan_spending_165";"";"";"";""
"";"itb_plan_spending_166";"";"";"";""
"";"itb_plan_spending_167";"";"";"";""
"";"itb_plan_spending_168";"";"";"";""
"";"itb_plan_spending_169";"";"";"";""
"";"itb_plan_spending_170";"";"";"";""
"";"itb_plan_spending_171";"";"";"";""
"";"itb_plan_spending_172";"";"";"";""
"";"itb_plan_spending_173";"";"";"";""
"";"itb_plan_spending_174";"";"";"";""
"";"itb_plan_spending_175";"";"";"";""
"";"itb_plan_spending_176";"";"";"";""
"";"itb_plan_spending_177";"";"";"";""
"";"itb_plan_spending_178";"";"";"";""
"";"itb_plan_spending_179";"";"";"";""
"";"itb_plan_spending_180";"";"";"";""
"";"itb_plan_spending_181";"";"";"";""
"";"itb_plan_spending_182";"";"";"";""
"";"itb_plan_spending_183";"";"";"";""
"";"itb_plan_spending_184";"";"";"";""
"";"itb_plan_spending_185";"";"";"";""
"";"itb_plan_spending_186";"";"";"";""
"";"itb_plan_spending_187";"";"";"";""
"";"itb_plan_spending_188";"";"";"";""
"";"itb_plan_spending_189";"";"";"";""
"";"itb_plan_spending_190";"";"";"";""
"";"itb_plan_spending_191";"";"";"";""
"";"itb_plan_spending_192";"";"";"";""
"";"itb_plan_spending_193";"";"";"";""
"";"itb_plan_spending_194";"";"";"";""
"";"itb_plan_spending_195";"";"";"";""
"";"itb_plan_spending_196";"";"";"";""
"";"itb_plan_spending_197";"";"";"";""
"";"itb_plan_spending_198";"";"";"";""
"";"itb_plan_spending_199";"";"";"";""
"";"itb_plan_spending_200";"";"";"";""
"";"itb_plan_spending_201";"";"";"";""
"";"itb_plan_spending_202";"";"";"";""
"";"itb_plan_spending_203";"";"";"";""
"";"itb_plan_spending_204";"";"";"";""
"";"itb_plan_spending_205";"";"";"";""
"";"itb_plan_spending_206";"";"";"";""
"";"itb_plan_spending_207";"";"";"";""
"";"itb_plan_spending_208";"";"";"";""
"";"itb_plan_spending_209";"";"";"";""
"";"itb_plan_spending_210";"";"";"";""
"";"itb_plan_spending_211";"";"";"";""
"";"itb_plan_spending_212";"";"";"";""
"";"itb_plan_spending_213";"";"";"";""
"";"itb_plan_spending_214";"";"";"";""
"";"itb_plan_spending_215";"";"";"";""
"";"itb_plan_spending_216";"";"";"";""
"";"itb_plan_spending_217";"";"";"";""
"";"itb_plan_spending_218";"";"";"";""
"";"itb_plan_spending_219";"";"";"";""
"";"itb_plan_spending_220";"";"";"";""
"";"itb_plan_spending_221";"";"";"";""
"";"itb_plan_spending_222";"";"";"";""
"";"itb_plan_spending_223";"";"";"";""
"";"itb_plan_spending_224";"";"";"";""
"";"itb_plan_spending_225";"";"";"";""
"";"itb_plan_spending_226";"";"";"";""
"";"itb_plan_spending_227";"";"";"";""
"";"itb_plan_spending_228";"";"";"";""
"";"itb_plan_spending_229";"";"";"";""
"";"itb_plan_spending_230";"";"";"";""
"";"itb_plan_spending_231";"";"";"";""
"";"itb_plan_spending_232";"";"";"";""
"";"itb_plan_spending_233";"";"";"";""
"";"itb_plan_spending_234";"";"";"";""
"";"itb_plan_spending_235";"";"";"";""
"";"itb_plan_spending_236";"";"";"";""
"";"itb_plan_spending_237";"";"";"";""
"";"itb_plan_spending_238";"";"";"";""
"";"itb_plan_spending_239";"";"";"";""
"";"itb_plan_spending_240";"";"";"";""
"";"itb_plan_spending_241";"";"";"";""
"";"itb_plan_spending_242";"";"";"";""
"";"itb_plan_spending_243";"";"";"";""
"";"itb_plan_spending_244";"";"";"";""
"";"itb_plan_spending_245";"";"";"";""
"";"itb_plan_spending_246";"";"";"";""
"";"itb_plan_spending_247";"";"";"";""
"";"itb_plan_spending_248";"";"";"";""
"";"itb_plan_spending_249";"";"";"";""
"";"itb_plan_spending_250";"";"";"";""
"";"itb_plan_spending_251";"";"";"";""
"";"itb_plan_spending_252";"";"";"";""
"";"itb_plan_spending_253";"";"";"";""
"";"itb_plan_spending_254";"";"";"";""
"";"itb_plan_spending_255";"";"";"";""
"";"itb_plan_spending_256";"";"";"";""
"";"itb_plan_spending_257";"";"";"";""
"";"itb_plan_spending_258";"";"";"";""
"";"itb_plan_spending_259";"";"";"";""
"";"itb_plan_spending_260";"";"";"";""
"";"itb_plan_spending_261";"";"";"";""
"";"itb_plan_spending_262";"";"";"";""
"";"itb_plan_spending_263";"";"";"";""
"";"itb_plan_spending_264";"";"";"";""
"";"itb_plan_spending_265";"";"";"";""
"";"itb_plan_spending_266";"";"";"";""
"";"itb_plan_spending_267";"";"";"";""
"";"itb_plan_spending_268";"";"";"";""
"";"itb_plan_spending_269";"";"";"";""
"";"itb_plan_spending_270";"";"";"";""
"";"itb_plan_spending_271";"";"";"";""
"";"itb_plan_spending_272";"";"";"";""
"";"itb_plan_spending_273";"";"";"";""
"";"itb_plan_spending_274";"";"";"";""
"";"itb_plan_spending_275";"";"";"";""
"";"itb_plan_spending_276";"";"";"";""
"";"itb_plan_spending_277";"";"";"";""
"";"itb_plan_spending_278";"";"";"";""
"";"itb_plan_spending_279";"";"";"";""
"";"itb_plan_spending_280";"";"";"";""
"";"itb_plan_spending_281";"";"";"";""
"";"itb_plan_spending_282";"";"";"";""
"";"itb_plan_spending_283";"";"";"";""
"";"itb_plan_spending_284";"";"";"";""
"";"itb_plan_spending_285";"";"";"";""
"";"itb_plan_spending_286";"";"";"";""
"";"itb_plan_spending_287";"";"";"";""
"";"itb_plan_spending_288";"";"";"";""
"";"itb_plan_spending_289";"";"";"";""
"";"itb_plan_spending_290";"";"";"";""
"";"itb_plan_spending_291";"";"";"";""
"";"itb_plan_spending_292";"";"";"";""
"";"itb_plan_spending_293";"";"";"";""
"";"itb_plan_spending_294";"";"";"";""
"";"itb_plan_spending_295";"";"";"";""
"";"itb_plan_spending_296";"";"";"";""
"";"itb_plan_spending_297";"";"";"";""
"";"itb_plan_spending_298";"";"";"";""
"";"itb_plan_spending_299";"";"";"";""
"";"itb_plan_spending_300";"";"";"";""
"";"itb_plan_spending_301";"";"";"";""
"";"itb_plan_spending_302";"";"";"";""
"";"itb_plan_spending_303";"";"";"";""
"";"itb_plan_spending_304";"";"";"";""
"";"itb_plan_spending_305";"";"";"";""
"";"itb_plan_spending_306";"";"";"";""
"";"itb_plan_spending_307";"";"";"";""
"";"itb_plan_spending_308";"";"";"";""
"";"itb_plan_spending_309";"";"";"";""
"";"itb_plan_spending_310";"";"";"";""
"";"itb_plan_spending_311";"";"";"";""
"";"itb_plan_spending_312";"";"";"";""
"";"itb_plan_spending_313";"";"";"";""
"";"itb_plan_spending_314";"";"";"";""
"";"itb_plan_spending_315";"";"";"";""
"";"itb_plan_spending_316";"";"";"";""
"";"itb_plan_spending_317";"";"";"";""
"";"itb_plan_spending_318";"";"";"";""
"";"itb_plan_spending_319";"";"";"";""
"";"itb_plan_spending_320";"";"";"";""
"";"itb_plan_spending_321";"";"";"";""
"";"itb_plan_spending_322";"";"";"";""
"";"itb_plan_spending_323";"";"";"";""
"";"itb_plan_spending_324";"";"";"";""
"";"itb_plan_spending_325";"";"";"";""
"";"itb_plan_spending_326";"";"";"";""
"";"itb_plan_spending_327";"";"";"";""
"";"itb_plan_spending_328";"";"";"";""
"";"itb_plan_spending_329";"";"";"";""
"";"itb_plan_spending_330";"";"";"";""
"";"itb_plan_spending_331";"";"";"";""
"";"itb_plan_spending_332";"";"";"";""
"";"itb_plan_spending_333";"";"";"";""
"";"itb_plan_spending_334";"";"";"";""
"";"itb_plan_spending_335";"";"";"";""
"";"itb_plan_spending_336";"";"";"";""
"";"itb_plan_spending_337";"";"";"";""
"";"itb_plan_spending_338";"";"";"";""
"";"itb_plan_spending_339";"";"";"";""
"";"itb_plan_spending_340";"";"";"";""
"";"itb_plan_spending_341";"";"";"";""
"";"itb_plan_spending_342";"";"";"";""
"";"itb_plan_spending_343";"";"";"";""
"";"itb_plan_spending_344";"";"";"";""
"";"itb_plan_spending_345";"";"";"";""
"";"itb_plan_spending_346";"";"";"";""
"";"itb_plan_spending_347";"";"";"";""
"";"itb_plan_spending_348";"";"";"";""
"";"itb_plan_spending_349";"";"";"";""
"";"itb_plan_spending_350";"";"";"";""
"";"itb_plan_spending_351";"";"";"";""
"";"itb_plan_spending_352";"";"";"";""
"";"itb_plan_spending_353";"";"";"";""
"";"itb_plan_spending_354";"";"";"";""
"";"itb_plan_spending_355";"";"";"";""
"";"itb_plan_spending_356";"";"";"";""
"";"itb_plan_spending_357";"";"";"";""
"";"itb_plan_spending_358";"";"";"";""
"";"itb_plan_spending_359";"";"";"";""
"";"itb_plan_spending_360";"";"";"";""
"";"itb_plan_spending_361";"";"";"";""
"";"itb_plan_spending_362";"";"";"";""
"";"itb_plan_spending_363";"";"";"";""
"";"itb_plan_spending_364";"";"";"";""
"";"itb_plan_spending_365";"";"";"";""
"";"itb_plan_spending_366";"";"";"";""
"";"itb_plan_spending_367";"";"";"";""
"";"itb_plan_spending_368";"";"";"";""
"";"itb_plan_spending_369";"";"";"";""
"";"itb_plan_spending_370";"";"";"";""
"";"itb_plan_spending_371";"";"";"";""
"";"itb_plan_spending_372";"";"";"";""
"";"itb_plan_spending_373";"";"";"";""
"";"itb_plan_spending_374";"";"";"";""
"";"itb_plan_spending_375";"";"";"";""
"";"itb_plan_spending_376";"";"";"";""
"";"itb_plan_spending_377";"";"";"";""
"";"itb_plan_spending_378";"";"";"";""
"";"itb_plan_spending_379";"";"";"";""
"";"itb_plan_spending_380";"";"";"";""
"";"itb_plan_spending_381";"";"";"";""
"";"itb_plan_spending_382";"";"";"";""
"";"itb_plan_spending_383";"";"";"";""
"";"itb_plan_spending_384";"";"";"";""
"";"itb_plan_spending_385";"";"";"";""
"";"itb_plan_spending_386";"";"";"";""
"";"itb_plan_spending_387";"";"";"";""
"";"itb_plan_spending_388";"";"";"";""
"";"itb_plan_spending_389";"";"";"";""
"";"itb_plan_spending_390";"";"";"";""
"";"itb_plan_spending_391";"";"";"";""
"";"itb_plan_spending_392";"";"";"";""
"";"itb_plan_spending_393";"";"";"";""
"";"itb_plan_spending_394";"";"";"";""
"";"itb_plan_spending_395";"";"";"";""
"";"itb_plan_spending_396";"";"";"";""
"";"itb_plan_spending_397";"";"";"";""
"";"itb_plan_spending_398";"";"";"";""
"";"itb_plan_spending_399";"";"";"";""
"";"itb_plan_spending_400";"";"";"";""
"";"itb_plan_spending_401";"";"";"";""
"";"itb_plan_spending_402";"";"";"";""
"";"itb_plan_spending_403";"";"";"";""
"";"itb_plan_spending_404";"";"";"";""
"";"itb_plan_spending_405";"";"";"";""
"";"itb_plan_spending_406";"";"";"";""
"";"itb_plan_spending_407";"";"";"";""
"";"itb_plan_spending_408";"";"";"";""
"";"itb_plan_spending_409";"";"";"";""
"";"itb_plan_spending_410";"";"";"";""
"";"itb_plan_spending_411";"";"";"";""
"";"itb_plan_spending_412";"";"";"";""
"";"itb_plan_spending_413";"";"";"";""
"";"itb_plan_spending_414";"";"";"";""
"";"itb_plan_spending_415";"";"";"";""
