"id";"activity_id/id";"name"
"itb_plan_subactivity_142";"itb_plan_activity_56";"Aotule Summer Program 2017"
"itb_plan_subactivity_143";"itb_plan_activity_40_1";"Hibah Pembelajaran E-Learning"
"itb_plan_subactivity_144";"itb_plan_activity_40";"Implementasi Kurikulum"
"itb_plan_subactivity_145";"itb_plan_activity_42";"Konferensi Nasional & Internasional"
"itb_plan_subactivity_146";"itb_plan_activity_2";"P3MI.Computational Fluid Dynamics for Realtime Fluid Simulation"
"itb_plan_subactivity_147";"itb_plan_activity_42";"P3MI.Crowd Simulation Model di Persimpangan Kereta Api Pada Simulator Kereta Api"
"itb_plan_subactivity_148";"itb_plan_activity_2";"P3MI.Data-Intensive Software System (Complex Data Modeling and Management, Complex Data Mining, Analitycs, and visualization, Linked Open Data Integration)"
"itb_plan_subactivity_149";"itb_plan_activity_2";"P3MI.Extended Multi-Agent Reinforcement Learning"
"itb_plan_subactivity_150";"itb_plan_activity_58";"P3MI.Implementasi Tacking GPS pada PD Kebersihan Kota Bandung"
"itb_plan_subactivity_151";"itb_plan_activity_2";"P3MI.Internet of Things (IOT) untuk Transportasi"
"itb_plan_subactivity_152";"itb_plan_activity_42";"P3MI.Isolasi Komposit kertas-minyak untuk peralatan tegangan tinggi"
"itb_plan_subactivity_153";"itb_plan_activity_42";"P3MI.Metoda Perhitungan Baru untuk Rancang Bangun dan Operasi Sistem Tenaga"
"itb_plan_subactivity_154";"itb_plan_activity_39";"P3MI.Mobile Agent untuk Smart CIty"
"itb_plan_subactivity_155";"itb_plan_activity_2";"P3MI.Model Knowledge Retrieval"
"itb_plan_subactivity_156";"itb_plan_activity_2";"P3MI.Notulensi Percakapan"
"itb_plan_subactivity_157";"itb_plan_activity_42";"P3MI.Novel Architecture for Future Network"
"itb_plan_subactivity_158";"itb_plan_activity_2";"P3MI.Open Information Extraction"
"itb_plan_subactivity_159";"itb_plan_activity_58";"P3MI.Pelatihan/Penyuluhan Penggunaan Teknologi Informasi dan Media Sosial bagi Kelompok Masyarakat"
"itb_plan_subactivity_160";"itb_plan_activity_42";"P3MI.Pemodelan Simulasi, dan Optimalisasi Cyber-Phsysical Systems (Industrial Internet of Things)"
"itb_plan_subactivity_161";"itb_plan_activity_42";"P3MI.Penelitian Rancangan Inverter Multi Level untuk Memperoleh THD Rendah pada Aplikasi Sistem PV"
"itb_plan_subactivity_162";"itb_plan_activity_42";"P3MI.Pengembangan 3D Multi-User Virtual Learning Environment untuk Peningkatan Kualitas Belajar"
"itb_plan_subactivity_163";"itb_plan_activity_39";"P3MI.Pengembangan dan Pembuatan Peralatan Eksperimen Sistem kendali mekatronik kerjasama dengan sentra perbengkelan di Bandung"
"itb_plan_subactivity_164";"itb_plan_activity_42";"P3MI.Pengembangan Metoda PencarianKode Ortogonal dan Sistem Radar"
"itb_plan_subactivity_165";"itb_plan_activity_2";"P3MI.Pengembangan Metode Reduksi Komputasi Untuk Mendukung Pengambilan Keputusan Berbatas Waktu"
"itb_plan_subactivity_166";"itb_plan_activity_2";"P3MI.Pengembangan Produk Auto pointing VSAT untuk Aplikasi Layanan IP VSAT Nomadic"
"itb_plan_subactivity_167";"itb_plan_activity_2";"P3MI.Pengembangan Sistem Monitoring dan Control Smart Microgrid Berbasis Algoritma deep Learning/Cognitive Artificial Intelligence dengan Platform Modul IoT"
"itb_plan_subactivity_168";"itb_plan_activity_2";"P3MI.Pengembangan Sistem navigasi pada Purwarupa Wahana mandiri Underwater Glider"
"itb_plan_subactivity_169";"itb_plan_activity_42";"P3MI.Pengembangan Text-to-Speech (TTS) Platform Untuk Melestarikan Bahasa Daerah"
"itb_plan_subactivity_170";"itb_plan_activity_42";"P3MI.Pengukuran Partial Discharge pada Peralatan yang Terselubung Metal Menggunakan Sensor P3MI.Eksternal"
"itb_plan_subactivity_171";"itb_plan_activity_2";"P3MI.Perancangan Flash Memory IoTB"
"itb_plan_subactivity_172";"itb_plan_activity_2";"P3MI.Perancangan Software Desain Radio (SDR)"
"itb_plan_subactivity_173";"itb_plan_activity_58";"P3MI.Prototip Devais IoT untuk Kesehatan: Continuous Digital Stethoscope"
"itb_plan_subactivity_174";"itb_plan_activity_58";"P3MI.Prototip Devais IoT untuk Kesehatan: Continuous Vital Sign Monitor"
"itb_plan_subactivity_175";"itb_plan_activity_42";"P3MI.Rancang Bangun Purwarupa Sistem Simulator Pergerakan Kereta Api"
"itb_plan_subactivity_176";"itb_plan_activity_39";"P3MI.Reaslisas Prototip Antena Mobile Vsat Pita-ku Band dengan Kemampuan Auto Beam Streering"
"itb_plan_subactivity_177";"itb_plan_activity_2";"P3MI.Rekognisi Plat Nomor Kendaraan pada Berbagai Kondisi Pengenalan"
"itb_plan_subactivity_178";"itb_plan_activity_69";"P3MI.Sistem Jaringan Deteksi Gempa"
"itb_plan_subactivity_179";"itb_plan_activity_2";"P3MI.Sistem Keamanan untuk IoTB"
"itb_plan_subactivity_180";"itb_plan_activity_39";"P3MI.Sistem SoC IoTB"
"itb_plan_subactivity_181";"itb_plan_activity_2";"P3MI.Sistem Terintegrasi Continuous Digital Stethoscope dengan Fungsi Perekaman & Analisis"
"itb_plan_subactivity_182";"itb_plan_activity_2";"P3MI.Sistem Terintegrasi Continuous Vital Sign Monitor"
"itb_plan_subactivity_183";"itb_plan_activity_74";"P3MI.Smart and Secure Platform"
"itb_plan_subactivity_184";"itb_plan_activity_42";"P3MI.Studi Pemanfaatan Sampah di Kota Bandung untuk Aplikasi Pembangkit Listrik Tenaga Sampah"
"itb_plan_subactivity_185";"itb_plan_activity_2";"Pelaksanaan Penelitian S1 dan S2"
"itb_plan_subactivity_186";"itb_plan_activity_56";"Pengelolaan lab komputasi, jaringan,website STEI"
"itb_plan_subactivity_187";"itb_plan_activity_49";"Pengembangan Sistem Manajemen"
