"id","name"
"itb_plan_unit_1","Teknik Elektro S1"
"itb_plan_unit_2","Teknik Elektro S2"
"itb_plan_unit_3","Teknik Elektro & Informatika S3"
"itb_plan_unit_4","Informatika S1"
"itb_plan_unit_5","Informatika S2"
"itb_plan_unit_6","Teknik Telekomunikasi S1"
"itb_plan_unit_7","Teknik Tenaga Listrik S1"
"itb_plan_unit_8","Sistem & Teknologi Informasi S1"
"itb_plan_unit_9","Teknik Biomedika S1"
"itb_plan_unit_10","Kantor STEI"
"itb_plan_unit_11","KK Elektronika"
"itb_plan_unit_12","KK Informatika"
"itb_plan_unit_13","KK Rekayasa Perangkat Lunak dan Pengetahuan"
"itb_plan_unit_14","KK Sistem Kendali dan Komputer"
"itb_plan_unit_15","KK Teknik Biomedika"
"itb_plan_unit_16","KK Teknik Ketenagalistrikan"
"itb_plan_unit_17","KK Teknik Komputer"
"itb_plan_unit_18","KK Teknik Telekomunikasi"
"itb_plan_unit_19","KK Teknologi Informasi"
