id,nama
tnix.suku_1,sunda
tnix.suku_2,jawa
tnix.suku_3,minang
tnix.suku_4,akit
tnix.suku_5,sakai
tnix.suku_6,kerinci
tnix.suku_7,musi
tnix.suku_8,melayu
tnix.suku_9,batak
tnix.suku_10,aceh
tnix.suku_11,serawai
tnix.suku_12,lampung
tnix.suku_13,baduy
tnix.suku_14,samin
tnix.suku_15,betawi
tnix.suku_16,madura
tnix.suku_17,bali
tnix.suku_18,sasak
tnix.suku_19,bima
tnix.suku_20,banjar
tnix.suku_21,tidung
tnix.suku_22,bulungan
tnix.suku_23,toraja
tnix.suku_24,mori
tnix.suku_25,buton
tnix.suku_26,dayak
tnix.suku_27,ot danum
tnix.suku_28,minahasa
tnix.suku_29,bugis
tnix.suku_30,gorontalo
tnix.suku_31,buru
tnix.suku_32,togutil
tnix.suku_33,asmat
tnix.suku_34,dani
